statement,implicit_need
Anyone else here have Rejection Sensitivity Dysphoria?. It makes take any kind of chance or risk impossible.,need to avoid loss of control
Anyone else here have Rejection Sensitivity Dysphoria?. It makes take any kind of chance or risk impossible.,need to not feel ashamed
Anyone else here have Rejection Sensitivity Dysphoria?. It makes take any kind of chance or risk impossible.,need to be understood
Just started school again and I can't focus or learn because im really depressed all day and its a negative spiral help me please. title. But yeah its really bad guys,need to not be held back by depression
Just started school again and I can't focus or learn because im really depressed all day and its a negative spiral help me please. title. But yeah its really bad guys,need to focus despite depression
Just started school again and I can't focus or learn because im really depressed all day and its a negative spiral help me please. title. But yeah its really bad guys,need to escape current situation
Depressed Mom. Does anyone else feel guilty for being a depressed Mom? It's like as much as I try to connect with my little one's (It could be) I can't :(,need to be understood by family
Depressed Mom. Does anyone else feel guilty for being a depressed Mom? It's like as much as I try to connect with my little one's (It could be) I can't :(,need to feel heard and acknowledged
Depressed Mom. Does anyone else feel guilty for being a depressed Mom? It's like as much as I try to connect with my little one's (It could be) I can't :(,need to overcome guilt
"Does anyone else think about redoing parts of your life?. Like going back in time and fixing those shitty mistakes you made. Not even the big stuff, but small things like who you chose to sit next to on the first day of class. Idk, I've just been thinking about it a lot I guess",need to reflect on past choices
